Name,Description,Latitude,Longitude,Auto_Opene,BldName,FID,Floor,description,name
(SZB) GEORGE I. SANCHEZ BUILDING,name: kml_57<br>description: <br> Attributes<br>  FID  56 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (SZB) GEORGE I. SANCHEZ BUILDING <br>FID: 56<br>Auto_Opene: 1<br>Floor: 02,30.281938,-97.738865,1,(SZB) GEORGE I. SANCHEZ BUILDING,56,02,,kml_57
(EAS) EDGAR A. SMITH BUILDING,name: kml_58<br>description: <br> Attributes<br>  FID  57 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (EAS) EDGAR A. SMITH BUILDING <br>FID: 57<br>Auto_Opene: 1<br>Floor: 01,30.281108,-97.738124,1,(EAS) EDGAR A. SMITH BUILDING,57,01,,kml_58
(EAS) EDGAR A. SMITH BUILDING,name: kml_59<br>description: <br> Attributes<br>  FID  58 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (EAS) EDGAR A. SMITH BUILDING <br>FID: 58<br>Auto_Opene: 0<br>Floor: 01,30.281089,-97.738131,0,(EAS) EDGAR A. SMITH BUILDING,58,01,,kml_59
(EAS) EDGAR A. SMITH BUILDING,name: kml_60<br>description: <br> Attributes<br>  FID  59 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (EAS) EDGAR A. SMITH BUILDING <br>FID: 59<br>Auto_Opene: 0<br>Floor: 01,30.281073,-97.738136,0,(EAS) EDGAR A. SMITH BUILDING,59,01,,kml_60
(EAS) EDGAR A. SMITH BUILDING,name: kml_61<br>description: <br> Attributes<br>  FID  60 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (EAS) EDGAR A. SMITH BUILDING <br>FID: 60<br>Auto_Opene: 0<br>Floor: 01,30.280978,-97.738166,0,(EAS) EDGAR A. SMITH BUILDING,60,01,,kml_61
(EAS) EDGAR A. SMITH BUILDING,name: kml_62<br>description: <br> Attributes<br>  FID  61 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (EAS) EDGAR A. SMITH BUILDING <br>FID: 61<br>Auto_Opene: 0<br>Floor: 01,30.280907,-97.738189,0,(EAS) EDGAR A. SMITH BUILDING,61,01,,kml_62
(ECJ) ERNEST COCKRELL JR. HALL,name: kml_63<br>description: <br> Attributes<br>  FID  62 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (ECJ) ERNEST COCKRELL JR. HALL <br>FID: 62<br>Auto_Opene: 1<br>Floor: 02,30.28897,-97.735611,1,(ECJ) ERNEST COCKRELL JR. HALL,62,02,,kml_63
(ECJ) ERNEST COCKRELL JR. HALL,name: kml_64<br>description: <br> Attributes<br>  FID  63 <br>  Auto_Opene  1 <br>  Floor  001 <br>  BldName  (ECJ) ERNEST COCKRELL JR. HALL <br>FID: 63<br>Auto_Opene: 1<br>Floor: 001,30.288894,-97.735152,1,(ECJ) ERNEST COCKRELL JR. HALL,63,001,,kml_64
(POB) PETER O'DONNELL JR. BUILDING,name: kml_65<br>description: <br> Attributes<br>  FID  64 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (POB) PETER O'DONNELL JR. BUILDING <br>FID: 64<br>Auto_Opene: 1<br>Floor: 02,30.286907,-97.736848,1,(POB) PETER O'DONNELL JR. BUILDING,64,02,,kml_65
(GDC) GATES DELL COMPLEX,name: kml_66<br>description: <br> Attributes<br>  FID  65 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 65<br>Auto_Opene: 1<br>Floor: 02,30.286239,-97.736754,1,(GDC) GATES DELL COMPLEX,65,02,,kml_66
